"DAW   - Faki Dawood & Sons (Pty) Ltd#$#font-bold=","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GRV Details#$#font-bold=true#$#font-size=12",""," April     2019#$#font-bold=true#$#font-size=10","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GRV No.#$#font-bold=true#$#font-size=10#$#column-","GRV Date#$#font-bold=true#$#font-size=10#$#column","Supplier#$#font-bold=true#$#font-size=10#$#column","Supplier Invoice No#$#font-bold=true#$#font-size=","Product Code#$#font-bold=true#$#font-size=10#$#co","Product Description#$#font-bold=true#$#font-size=","Measured in#$#font-bold=true#$#font-size=10#$#col","Units Received#$#font-bold=true#$#font-size=10#$#","Mass Received#$#font-bold=true#$#font-size=10#$#c","Price#$#font-bold=true#$#font-size=10#$#column-wi","Excluding Amount#$#font-bold=true#$#font-size=10#","VAT Amount#$#font-bold=true#$#font-size=10#$#colu","Total Amount#$#font-bold=true#$#font-size=10#$#co","","","","","","","","","","","","","","","","","","","","",""
"_#$#font-color=#00C0FFFF#$#column-freeze=true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99777!#TEXT#!","13-04-2019!#TEXT#!","AFGR01 - Afgri Poultry (Pty) Ltd 14 Day STM ","379879/SHORT GRVD             ","DSN!#TEXT#!","Ds - Necks [10*1kg]!#TEXT#!","Both","       200.00!#TEXT#!","    2000.000!#TEXT#!","     10.00!#TEXT#!","  20000.00!#TEXT#!","   2793.00!#TEXT#!","  22793.00!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99778!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","710664                        ","SFFB10N!#TEXT#!","SF- Cater Fillet 10*1kg New!#TEXT#!","Both","       672.00!#TEXT#!","    6720.000!#TEXT#!","     32.50!#TEXT#!"," 218400.00!#TEXT#!","  31449.60!#TEXT#!"," 249849.60!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99778!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","710664                        ","CRCTN!#TEXT#!","Cr - Cater Thighs [5kg] New!#TEXT#!","Both","       300.00!#TEXT#!","    1500.000!#TEXT#!","     21.80!#TEXT#!","  32700.00!#TEXT#!","   4708.80!#TEXT#!","  37408.80!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99778!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","710664                        ","CR800N!#TEXT#!","CR - Iqf Mix [6*800g] New!#TEXT#!","Both","      2100.00!#TEXT#!","   10080.000!#TEXT#!","     25.50!#TEXT#!"," 257040.00!#TEXT#!","  37013.76!#TEXT#!"," 294053.76!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99778!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","710664                        ","3SR5N!#TEXT#!","SovRan IQF Mix 3*5kg New!#TEXT#!","Both","       180.00!#TEXT#!","    2700.000!#TEXT#!","     23.30!#TEXT#!","  62910.00!#TEXT#!","   9059.04!#TEXT#!","  71969.04!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99779!#TEXT#!","13-04-2019!#TEXT#!","VECT01 - Vector Logistics - 25 Day Acc      ","8018553260                    ","R2BO!#TEXT#!","R - IQF Bones [6*2kg]!#TEXT#!","Both","      1298.00!#TEXT#!","   15576.000!#TEXT#!","      9.80!#TEXT#!"," 152644.80!#TEXT#!","  19811.62!#TEXT#!"," 172456.42!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99780!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","123107/DAWO08                 ","ER25!#TEXT#!","East Rand Eggs - Lrg Unit!#TEXT#!","Units","       180.00!#TEXT#!","            !#TEXT#!","     35.00!#TEXT#!","   6300.00!#TEXT#!","          !#TEXT#!","   6300.00!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99780!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","123107/DAWO08                 ","ERJ25!#TEXT#!","S- Jumbo Eggs 2.5doz!#TEXT#!","Units","        80.00!#TEXT#!","            !#TEXT#!","     45.00!#TEXT#!","   3600.00!#TEXT#!","          !#TEXT#!","   3600.00!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99780!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","123107/DAWO08                 ","ER5M!#TEXT#!","East Rand Eggs - Med Unit!#TEXT#!","Units","        30.00!#TEXT#!","            !#TEXT#!","     55.00!#TEXT#!","   1650.00!#TEXT#!","          !#TEXT#!","   1650.00!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99780!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","123107/DAWO08                 ","ER18!#TEXT#!","Eggs 1.5 Doz  Units!#TEXT#!","Units","       100.00!#TEXT#!","            !#TEXT#!","     21.00!#TEXT#!","   2100.00!#TEXT#!","          !#TEXT#!","   2100.00!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99780!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","123107/DAWO08                 ","ER18X!#TEXT#!","Eggs X-Large 1.5doz!#TEXT#!","Units","        50.00!#TEXT#!","            !#TEXT#!","     27.00!#TEXT#!","   1350.00!#TEXT#!","          !#TEXT#!","   1350.00!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99780!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","123107/DAWO08                 ","ER25!#TEXT#!","East Rand Eggs - Lrg Unit!#TEXT#!","Units","       120.00!#TEXT#!","            !#TEXT#!","     35.00!#TEXT#!","   4200.00!#TEXT#!","          !#TEXT#!","   4200.00!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"  99780!#TEXT#!","13-04-2019!#TEXT#!","SOVE01 - Sovereign Foods - 30 Day/Inv       ","123107/DAWO08                 ","ER5!#TEXT#!","East Rand Eggs - Lrg Unit!#TEXT#!","Units","       150.00!#TEXT#!","            !#TEXT#!","     70.00!#TEXT#!","  10500.00!#TEXT#!","          !#TEXT#!","  10500.00!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99781!#TEXT#!","13-04-2019!#TEXT#!","MWHA   - M & W Halaal Food Processors       ","428479/DAWO01                 ","MWSB!#TEXT#!","Mw-Smoked Beef 10kg!#TEXT#!","Both","         1.00!#TEXT#!","      10.000!#TEXT#!","    790.86!#TEXT#!","    790.86!#TEXT#!","    118.63!#TEXT#!","    909.49!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99782!#TEXT#!","13-04-2019!#TEXT#!","MWHA   - M & W Halaal Food Processors       ","428465/DAWO08                 ","MWR32!#TEXT#!","MW-Beef Russians 3*2kg!#TEXT#!","Both","        50.00!#TEXT#!","     300.000!#TEXT#!","    212.25!#TEXT#!","  10612.50!#TEXT#!","   1591.88!#TEXT#!","  12204.38!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99783!#TEXT#!","13-04-2019!#TEXT#!","MWHA   - M & W Halaal Food Processors       ","428456/DAWO08                 ","MWR32!#TEXT#!","MW-Beef Russians 3*2kg!#TEXT#!","Both","        25.00!#TEXT#!","     150.000!#TEXT#!","    212.25!#TEXT#!","   5306.25!#TEXT#!","    795.94!#TEXT#!","   6102.19!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99784!#TEXT#!","13-04-2019!#TEXT#!","MWHA   - M & W Halaal Food Processors       ","428446/DAWO08                 ","LBP!#TEXT#!","LH - Beef Patties [40*75g}!#TEXT#!","Both","       130.00!#TEXT#!","     390.000!#TEXT#!","     60.55!#TEXT#!","  23616.06!#TEXT#!","   3542.41!#TEXT#!","  27158.47!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"  99785!#TEXT#!","13-04-2019!#TEXT#!","MWHA   - M & W Halaal Food Processors       ","428443/DAWO08                 ","MWR2!#TEXT#!","MW-Beef Russians 5*2kg!#TEXT#!","Both","        20.00!#TEXT#!","     200.000!#TEXT#!","    353.75!#TEXT#!","   7075.00!#TEXT#!","   1061.25!#TEXT#!","   8136.25!#TEXT#!","","","","","","","","","","","","","","","","","","","","",""
