GRV No.#$#font-bold=true#$#font-size=10,GRV Date#$#font-bold=true#$#font-size=10,Supplier#$#font-bold=true#$#font-size=10,Supplier Name#$#font-bold=true#$#font-size=25,Supplier Invoice No#$#font-bold=true#$#font-size=,Product Code#$#font-bold=true#$#font-size=10,Product Description#$#font-bold=true#$#font-size=,Measured in#$#font-bold=true#$#font-size=10,Units Received#$#font-bold=true#$#font-size=10,Mass Received#$#font-bold=true#$#font-size=10,Price#$#font-bold=true#$#font-size=10,Excluding Amount#$#font-bold=true#$#font-size=10,VAT Amount#$#font-bold=true#$#font-size=10,Total Amount#$#font-bold=true#$#font-size=10#$#column-merge=5
_#$#font-color=#00C0FFFF#$#column-freeze=true,,,,,,,,,,,,,
   1388!#TEXT#!,09-09-2019!#TEXT#!,D001  ,F Dawood & Sons                    ,348336 DS 81059810            !#TEXT#!,DSD!#TEXT#!,DRUMS - DAYBREAK 5KG!#TEXT#!,Both!#TEXT#!,432,2160,144,(62208.00),9331.20,71539.20
   1388!#TEXT#!,09-09-2019!#TEXT#!,D001  ,F Dawood & Sons                    ,348336 DS 81059810            !#TEXT#!,DSW!#TEXT#!,WINGS - DAYBREAK 5KG!#TEXT#!,Both!#TEXT#!,216,1080,134.5,29052,4357.8,33409.8
   1388!#TEXT#!,09-09-2019!#TEXT#!,D001  ,F Dawood & Sons                    ,348336 DS 81059810            !#TEXT#!,DSFB6!#TEXT#!,FILLET - DAYBREAK 3 x 2kg!#TEXT#!,Both!#TEXT#!,180,1080,205.2,36936,5540.4,42476.4
   1388!#TEXT#!,09-09-2019!#TEXT#!,D001  ,F Dawood & Sons                    ,348336 DS 81059810            !#TEXT#!,DSLK!#TEXT#!,LIVER - DAYBREAK 10 X 1KG!#TEXT#!,Both!#TEXT#!,140,1400,128,17920,2688,20608
   1388!#TEXT#!,09-09-2019!#TEXT#!,D001  ,F Dawood & Sons                    ,348336 DS 81059810            !#TEXT#!,DSLQ5!#TEXT#!,LEG Q - DAYBREAK 5KG IQF!#TEXT#!,Both!#TEXT#!,216,1080,125,27000,4050,31050
   1388!#TEXT#!,09-09-2019!#TEXT#!,D001  ,F Dawood & Sons                    ,348336 DS 81059810            !#TEXT#!,DSFB1N!#TEXT#!,FILLET - DAYBREAK 10 X  1KG!#TEXT#!,Both!#TEXT#!,70,700,342,23940,3591,27531
   1388!#TEXT#!,09-09-2019!#TEXT#!,D001  ,F Dawood & Sons                    ,348336 DS 81059810            !#TEXT#!,DST!#TEXT#!,THIGHS - DAYBREAK 5KG!#TEXT#!,Both!#TEXT#!,324,1620,112,36288,5443.2,41731.2
   1389!#TEXT#!,09-09-2019!#TEXT#!,D001  ,F Dawood & Sons                    ,348334 DS 81059755            !#TEXT#!,DSFWB!#TEXT#!,FRESH - DS W/BIRD Each!#TEXT#!,Both!#TEXT#!,3100,4262.5,31.24,96849.27,14527.39,111376.66
   1389!#TEXT#!,09-09-2019!#TEXT#!,D001  ,F Dawood & Sons                    ,348334 DS 81059755            !#TEXT#!,DSFWB!#TEXT#!,FRESH - DS W/BIRD Each!#TEXT#!,Both!#TEXT#!,150,206.25,31.24,4686.27,702.94,5389.21
   1389!#TEXT#!,09-09-2019!#TEXT#!,D001  ,F Dawood & Sons                    ,348334 DS 81059755            !#TEXT#!,DSFW8!#TEXT#!,FRESH - DS WINGS 8PC!#TEXT#!,Both!#TEXT#!,30,14.85,27.02,810.45,121.57,932.02
   1389!#TEXT#!,09-09-2019!#TEXT#!,D001  ,F Dawood & Sons                    ,348334 DS 81059755            !#TEXT#!,DSFD18!#TEXT#!,FRESH - DS DRUMS 16 PC!#TEXT#!,Both!#TEXT#!,20,26.8,57.83,1156.58,173.49,1330.07
   1389!#TEXT#!,09-09-2019!#TEXT#!,D001  ,F Dawood & Sons                    ,348334 DS 81059755            !#TEXT#!,DSFF12!#TEXT#!,FRESH - DS FILLET 12PC!#TEXT#!,Both!#TEXT#!,120,210,86.49,10378.64,1556.8,11935.44
   1390!#TEXT#!,09-09-2019!#TEXT#!,D001  ,F Dawood & Sons                    ,348329 SF 727296              !#TEXT#!,ROFB10N!#TEXT#!,FILLET - R/L RETAIL 10x1kgBlue!#TEXT#!,Both!#TEXT#!,96,960,325,31200,4680,35880
   1390!#TEXT#!,09-09-2019!#TEXT#!,D001  ,F Dawood & Sons                    ,348329 SF 727296              !#TEXT#!,CRM!#TEXT#!,MALA - C/RANGE 10 X 1KG!#TEXT#!,Both!#TEXT#!,384,3840,48,18432,2764.8,21196.8
   1390!#TEXT#!,09-09-2019!#TEXT#!,D001  ,F Dawood & Sons                    ,348329 SF 727296              !#TEXT#!,CRCD!#TEXT#!,DRUMS - C/RANGE 5KG!#TEXT#!,Both!#TEXT#!,150,750,150,22500,3375,25875
