,BBC   - BEARINGS & BRAKE PARTS CITY cc#$#font-bold=true#$#font-size=12,,

,Bottom 100 Customer Sales#$#font-bold=true#$#font-size=12,,

Code#$#font-bold=true#$#font-size=10#$#column-width=15,Customer Name#$#font-bold=true#$#font-size=10#$#column-width=120,_#$#column-width=15,Cost of Sale#$#font-bold=true#$#font-size=10#$#column-width=20,Sales Value#$#font-bold=true#$#font-size=10#$#column-width=20,Profit#$#font-bold=true#$#font-size=10#$#column-width=20,Profit Margin#$#font-bold=true#$#font-size=10#$#column-width=20
_#$#font-color=#00C0FFFF#$#column-freeze=true
H0003 ,HENRI''S TUNE-UP CENTRE            ,,        4.83 ,       10.00 ,        5.17 ,      107.04
V0001 ,VARCO INDUSTRIAL PRODUCTS          ,,     (185.40),      181.40 ,      366.80 ,     (197.84)
B0028 ,B.I.BETHLEHEM                      ,,      214.66 ,      371.00 ,      156.34 ,       72.83
Y0001 ,YUSSUF & SONS TRADING CC           ,,      430.00 ,     1225.00 ,      795.00 ,      184.88
X0001 ,X-PRESS COMMERCIAL COMPONENTS CC   ,,      866.80 ,     1260.00 ,      393.20 ,       45.36
F0031 ,F.S.ENGINEERING CC                 ,,     1470.30 ,     2150.00 ,      679.70 ,       46.23
R0032 ,RAPID DAWN T/A SUPER SPARES        ,,     1112.98 ,     2311.52 ,     1198.54 ,      107.69
R0038 ,RAINO'S SPARES CC                  ,,        0.00 ,    (2440.00),    (2440.00),        0.00
G0008 ,GEAR SET TRADING ENTERPRISES C.C   ,,     1391.44 ,     2450.40 ,     1058.96 ,       76.11
B0034 ,B.I.NEWCASTLE                      ,,     1800.70 ,     3148.06 ,     1347.36 ,       74.82
COD017,NATIONAL SOLDIER CO T/A SOHUMSERVIC,,     1359.96 ,     3658.94 ,     2298.98 ,      169.05
S0028 ,SPARES WORLD PLEIN STR             ,,     2144.73 ,     3764.35 ,     1619.62 ,       75.52
B0072 ,B.I.WEST RAND                      ,,     2519.94 ,     3814.46 ,     1294.52 ,       51.37
B0113 ,BED HOLDINGS (PTY)LTD              ,,     3128.31 ,     4161.30 ,     1032.99 ,       33.02
C0008 ,CARMENS SUPPLIES CC                ,,     2979.75 ,     4204.00 ,     1224.25 ,       41.09
B0116 ,B.I.PHALABORWA                     ,,     3838.32 ,     5847.50 ,     2009.18 ,       52.35
B0011 ,BEARCHEM REQUISITES WELKOM CC      ,,     3813.20 ,     6410.12 ,     2596.92 ,       68.10
A0008 ,ASA PRODUCTS (PTY) LTD             ,,     3862.65 ,     7094.66 ,     3232.01 ,       83.67
B0049 ,B.I.PIETERMARITZBURG               ,,     5279.42 ,     7775.30 ,     2495.88 ,       47.28
B0043 ,B.I.GERMISTON                      ,,     4890.19 ,     7905.88 ,     3015.69 ,       61.67
B0035 ,B.I.NELSPRUIT                      ,,     5241.60 ,     9080.07 ,     3838.47 ,       73.23
B0070 ,B.I.THABAZIMBI                     ,,     6606.78 ,     9665.96 ,     3059.18 ,       46.30
T0021 ,TERETTIE T/A BOLT & TOOL AFRICA    ,,     5933.20 ,     9942.54 ,     4009.34 ,       67.57
B0038 ,B.I.VEREENIGING                    ,,     5651.11 ,    10058.58 ,     4407.47 ,       77.99
B0053 ,B.I.GROOTEGELUK                    ,,     6616.40 ,    10460.00 ,     3843.60 ,       58.09
A0030 ,A1 BEARINGS CC                     ,,     6814.00 ,    11559.62 ,     4745.62 ,       69.65
B105  ,BEARING LYNK                       ,,     6339.25 ,    11628.23 ,     5288.98 ,       83.43
B0047 ,B.I.JACOBS                         ,,     9168.60 ,    11817.32 ,     2648.72 ,       28.89
C0021 ,CITI BEARINGS & SEALS RUSTENBURG PT,,     8595.33 ,    15458.55 ,     6863.22 ,       79.85
B0087 ,BAOBAB SUPER SPARES                ,,     9944.18 ,    15472.50 ,     5528.32 ,       55.59
B0046 ,B.I.LICHTENBURG                    ,,     8590.44 ,    15579.33 ,     6988.89 ,       81.36
B0031 ,B.I.PINETOWN                       ,,     8391.52 ,    16831.94 ,     8440.42 ,      100.58
B0030 ,B.I.KROONSTAD                      ,,    11117.15 ,    17179.49 ,     6062.34 ,       54.53
P0015 ,PHAMBILE BEARING SUPPLIES cc       ,,    11404.02 ,    17722.40 ,     6318.38 ,       55.40
COD048,CASH SALE-OLD POTCH                ,,    12457.51 ,    20899.59 ,     8442.08 ,       67.77
G0004 ,L NORMAND GLOBAL ENTERPRISE CC     ,,    14139.53 ,    21325.55 ,     7186.02 ,       50.82
S0022 ,SPARES CITY                        ,,    11606.71 ,    21759.93 ,    10153.22 ,       87.48
E0009 ,ENGINE SPARES SPECIALISTS          ,,    13918.92 ,    22185.68 ,     8266.76 ,       59.39
B0102 ,B.I.BLOEMFONTEIN                   ,,    14654.30 ,    23602.58 ,     8948.28 ,       61.06
P0013 ,PUMPS & TRANSMISSION CC            ,,    15366.63 ,    23948.66 ,     8582.03 ,       55.85
