"2022  May#$#font-bold=true#$#font-size=12#$#column-width=25#$#column-merge=1","","","Monthly Area Product Sales Summary#$#font-bold=true#$#font-size=12#$#column-width=25#$#column-horizontal-align=Centre#$#column-merge=2","","","","",""," 6/06/2022#$#font-bold=true#$#font-size=12#$#column-width=25#$#column-horizontal-align=Right",""
"","","","","","","","","","",""
"Year#$#font-bold=true#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF#$#column-horizontal-align=Right","Month#$#font-bold=true#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","Route#$#font-bold=true#$#font-size=10#$#column-width=20#$#column-background=#9FE6FF","Customer#$#font-bold=true#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","Customer Name#$#font-bold=true#$#font-size=10#$#column-width=40#$#column-background=#9FE6FF","Week#$#font-bold=true#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF#$#column-horizontal-align=Centre","Product#$#font-bold=true#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","Product Descrition#$#font-bold=true#$#font-size=10#$#column-width=30#$#column-background=#9FE6FF","Group#$#font-bold=true#$#font-size=10#$#column-width=15#$#column-background=#9FE6FF","Mass#$#font-bold=true#$#font-size=10#$#column-width=15#$#column-background=#9FE6FF#$#column-horizontal-align=Right",""
"_ #$#column-freeze=true#$#font-bold=true#$#font-size=10","","","","","","","","","",""
"","","","","","","","","","",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#9FE6FF"," May#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#9FE6FF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","1#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#9FE6FF","1020  #$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","RAINBOW FRESH WINGS           #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","FRESH #$#font-size=10#$#column-width=15#$#column-background=#9FE6FF","        15.74#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#9FE6FF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#FFFFFF"," May#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#FFFFFF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","1#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#FFFFFF","1021  #$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","RAINBOW FRESH DRUMSTICK       #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","FRESH #$#font-size=10#$#column-width=15#$#column-background=#FFFFFF","        12.87#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#FFFFFF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#9FE6FF"," May#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#9FE6FF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","1#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#9FE6FF","1025  #$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","FRESH GRILLERS                #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","FRESH #$#font-size=10#$#column-width=15#$#column-background=#9FE6FF","       246.15#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#9FE6FF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#FFFFFF"," May#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#FFFFFF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","1#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#FFFFFF","1178  #$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","RAINBOW FRESH FILLET          #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","FRESH #$#font-size=10#$#column-width=15#$#column-background=#FFFFFF","       111.20#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#FFFFFF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#9FE6FF"," May#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#9FE6FF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","1#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#9FE6FF","1287  #$#font-size=10#$#column-width=10#$#column-background=#9FE6FF","IMPORT CHICKEN SKINS 15KG     #$#font-size=10#$#column-width=25#$#column-background=#9FE6FF","SKIN  #$#font-size=10#$#column-width=15#$#column-background=#9FE6FF","       450.00#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#9FE6FF",""
"2022 #$#font-size=10#$#column-width=10#$#column-horizontal-align=Right#$#column-background=#FFFFFF"," May#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","ATHLONE                       #$#font-size=10#$#column-width=20#$#column-background=#FFFFFF","ALK001#$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","Al-Kauthar Halaal Meat             #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","1#$#font-size=10#$#column-width=10#$#column-horizontal-align=Center#$#column-background=#FFFFFF","3025  #$#font-size=10#$#column-width=10#$#column-background=#FFFFFF","MC CHIP 7MM 4*2.5KG           #$#font-size=10#$#column-width=25#$#column-background=#FFFFFF","CHIPS #$#font-size=10#$#column-width=15#$#column-background=#FFFFFF","        20.00#$#font-size=10#$#column-width=15#$#column-horizontal-align=Right#$#column-background=#FFFFFF",""
